TYPE,TRACE,A

DATE & TIME,04Nov2023 07:04PM MST
INSTRUMENT,86140A,SN US38380207,REV A.01.01
AIR/VACUUM/STP,VACUUM

TRACE,A
START,1025.000
STOP,1035.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),0.10
VBW (Hz),3000

REFERENCE LEVEL (dBm),-28.31
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-59.58

AVERAGING,10
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1030.000
MARKER AMPLITUDE,-32.065
MARKER UNITS,dBm

INDEX,A
1,-52.479
2,-52.487
3,-52.527
4,-52.486
5,-52.544
6,-52.583
7,-52.596
8,-52.597
9,-52.626
10,-52.670
11,-52.665
12,-52.713
13,-52.726
14,-52.718
15,-52.695
16,-52.727
17,-52.709
18,-52.671
19,-52.665
20,-52.583
21,-52.556
22,-52.478
23,-52.390
24,-52.347
25,-52.255
26,-52.203
27,-52.053
28,-52.004
29,-51.884
30,-51.817
31,-51.732
32,-51.676
33,-51.540
34,-51.468
35,-51.346
36,-51.308
37,-51.216
38,-51.176
39,-51.084
40,-51.038
41,-50.998
42,-50.923
43,-50.913
44,-50.838
45,-50.885
46,-50.836
47,-50.784
48,-50.832
49,-50.751
50,-50.816
51,-50.833
52,-50.802
53,-50.911
54,-50.879
55,-50.892
56,-50.972
57,-50.987
58,-51.019
59,-51.117
60,-51.117
61,-51.176
62,-51.238
63,-51.226
64,-51.327
65,-51.347
66,-51.375
67,-51.375
68,-51.396
69,-51.438
70,-51.400
71,-51.447
72,-51.378
73,-51.395
74,-51.306
75,-51.269
76,-51.236
77,-51.129
78,-51.139
79,-50.991
80,-50.993
81,-50.893
82,-50.893
83,-50.769
84,-50.763
85,-50.648
86,-50.670
87,-50.554
88,-50.569
89,-50.472
90,-50.500
91,-50.423
92,-50.424
93,-50.395
94,-50.373
95,-50.330
96,-50.307
97,-50.271
98,-50.269
99,-50.274
100,-50.275
101,-50.254
102,-50.277
103,-50.261
104,-50.320
105,-50.295
106,-50.372
107,-50.360
108,-50.398
109,-50.425
110,-50.431
111,-50.483
112,-50.492
113,-50.535
114,-50.547
115,-50.569
116,-50.656
117,-50.656
118,-50.710
119,-50.765
120,-50.754
121,-50.804
122,-50.832
123,-50.892
124,-50.945
125,-50.907
126,-50.976
127,-50.977
128,-50.984
129,-51.052
130,-50.944
131,-50.983
132,-51.011
133,-50.933
134,-50.936
135,-50.884
136,-50.804
137,-50.833
138,-50.759
139,-50.624
140,-50.615
141,-50.496
142,-50.467
143,-50.409
144,-50.306
145,-50.292
146,-50.152
147,-50.124
148,-50.024
149,-50.014
150,-49.939
151,-49.884
152,-49.865
153,-49.807
154,-49.848
155,-49.757
156,-49.847
157,-49.774
158,-49.844
159,-49.866
160,-49.898
161,-49.934
162,-49.947
163,-50.066
164,-50.056
165,-50.182
166,-50.184
167,-50.276
168,-50.308
169,-50.406
170,-50.430
171,-50.522
172,-50.548
173,-50.620
174,-50.659
175,-50.654
176,-50.759
177,-50.752
178,-50.839
179,-50.826
180,-50.853
181,-50.926
182,-50.909
183,-50.984
184,-50.925
185,-50.945
186,-50.959
187,-50.894
188,-50.906
189,-50.879
190,-50.780
191,-50.758
192,-50.735
193,-50.635
194,-50.586
195,-50.524
196,-50.447
197,-50.366
198,-50.257
199,-50.181
200,-50.150
201,-50.004
202,-49.957
203,-49.931
204,-49.833
205,-49.880
206,-49.780
207,-49.797
208,-49.789
209,-49.773
210,-49.808
211,-49.799
212,-49.911
213,-49.869
214,-49.977
215,-50.024
216,-50.084
217,-50.138
