TYPE,TRACE,A

DATE & TIME,04Nov2023 07:30PM MST
INSTRUMENT,86140A,SN US38380207,REV A.01.01
AIR/VACUUM/STP,VACUUM

TRACE,A
START,1025.000
STOP,1035.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),0.10
VBW (Hz),3000

REFERENCE LEVEL (dBm),-28.31
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-59.58

AVERAGING,10
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1030.000
MARKER AMPLITUDE,-51.857
MARKER UNITS,dBm

INDEX,A
1,-63.603
2,-64.022
3,-64.598
4,-64.071
5,-64.414
6,-64.282
7,-64.039
8,-65.209
9,-64.885
10,-64.949
11,-65.235
12,-65.080
13,-65.123
14,-65.359
15,-66.033
16,-65.387
17,-66.384
18,-65.420
19,-65.831
20,-66.301
21,-65.873
22,-65.566
23,-65.493
24,-65.961
25,-65.203
26,-65.471
27,-65.879
28,-66.660
29,-66.002
30,-66.445
31,-65.946
32,-66.103
33,-65.843
34,-67.127
35,-66.400
36,-66.539
37,-67.020
38,-65.907
39,-66.258
40,-66.488
41,-66.648
42,-66.198
43,-66.741
44,-65.832
45,-66.187
46,-67.063
47,-66.824
48,-66.794
49,-66.704
50,-66.776
51,-66.660
52,-67.121
53,-66.705
54,-66.603
55,-66.414
56,-65.855
57,-66.432
58,-65.504
59,-66.427
60,-66.302
61,-65.088
62,-66.095
63,-66.195
64,-66.431
65,-66.102
66,-65.849
67,-66.643
68,-65.578
69,-66.134
70,-65.690
71,-65.656
72,-66.242
73,-65.548
74,-65.715
75,-65.593
76,-65.825
77,-64.774
78,-65.925
79,-64.500
80,-65.134
81,-64.955
82,-65.326
83,-64.629
84,-64.967
85,-63.719
86,-64.557
87,-63.687
88,-64.332
89,-63.804
90,-64.399
91,-63.723
92,-63.964
93,-63.144
94,-64.105
95,-63.311
96,-64.098
97,-63.031
98,-63.919
99,-62.963
100,-63.526
101,-62.879
102,-63.571
103,-62.535
104,-63.322
105,-62.627
106,-62.696
107,-62.899
108,-62.833
109,-62.644
110,-61.925
111,-63.111
112,-62.281
113,-62.564
114,-62.218
115,-62.077
116,-62.504
117,-62.073
118,-62.245
119,-62.409
120,-61.885
121,-62.102
122,-62.014
123,-61.757
124,-62.409
125,-61.486
126,-62.170
127,-61.775
128,-61.765
129,-61.641
130,-61.621
131,-61.227
132,-61.543
133,-60.959
134,-60.864
135,-61.288
136,-60.875
137,-60.958
138,-60.965
139,-60.438
140,-60.702
141,-60.634
142,-60.246
143,-60.529
144,-60.019
145,-60.876
146,-59.842
147,-59.978
148,-59.813
149,-59.715
150,-59.793
151,-59.440
152,-59.849
153,-59.402
154,-59.426
155,-59.268
156,-59.569
157,-59.104
158,-59.176
159,-59.095
160,-58.803
161,-59.359
162,-58.811
163,-59.494
164,-58.945
165,-59.580
166,-58.882
167,-59.468
168,-58.993
169,-59.356
170,-59.198
171,-59.106
172,-59.430
173,-58.931
174,-59.462
175,-58.994
176,-59.525
177,-59.070
178,-59.525
179,-59.030
180,-59.157
181,-59.297
182,-58.950
183,-59.395
184,-58.907
185,-58.834
186,-59.537
187,-58.836
188,-59.127
189,-59.267
190,-58.773
191,-59.016
192,-59.092
193,-58.472
194,-58.875
195,-58.856
196,-58.362
197,-58.826
198,-58.284
199,-58.364
200,-58.394
201,-58.138
202,-58.113
203,-58.089
204,-57.831
205,-58.181
206,-57.742
207,-58.143
208,-57.886
209,-57.849
210,-57.960
211,-57.803
212,-58.115
213,-57.723
214,-58.321
215,-58.066
216,-58.125
217,-58.190
