TYPE,TRACE,A

DATE & TIME,04Nov2023 02:43AM MST
INSTRUMENT,86140A,SN US38380207,REV A.01.01
AIR/VACUUM/STP,VACUUM

TRACE,A
START,1025.000
STOP,1035.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),0.10
VBW (Hz),3000

REFERENCE LEVEL (dBm),-27.25
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-59.58

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF

INDEX,A
1,-68.710
2,-66.556
3,-68.711
4,-68.012
5,-68.713
6,-68.713
7,-68.714
8,-68.715
9,-68.716
10,-68.716
11,-68.716
12,-68.630
13,-68.718
14,-68.719
15,-68.720
16,-68.720
17,-68.721
18,-68.722
19,-68.723
20,-68.724
21,-68.724
22,-68.724
23,-68.725
24,-68.726
25,-68.727
26,-68.728
27,-68.728
28,-68.729
29,-68.730
30,-68.730
31,-68.731
32,-68.731
33,-68.732
34,-68.733
35,-68.734
36,-68.735
37,-68.736
38,-68.736
39,-68.737
40,-68.738
41,-68.738
42,-68.739
43,-68.739
44,-68.740
45,-68.741
46,-67.410
47,-68.743
48,-67.884
49,-68.744
50,-68.358
51,-68.649
52,-68.746
53,-68.746
54,-68.747
55,-68.748
56,-68.749
57,-68.750
58,-67.920
59,-68.751
60,-68.752
61,-68.753
62,-68.753
63,-68.743
64,-67.005
65,-68.755
66,-68.756
67,-67.008
68,-68.758
69,-68.758
70,-68.759
71,-68.760
72,-68.760
73,-68.761
74,-66.785
75,-67.234
76,-68.763
77,-68.764
78,-68.372
79,-68.766
80,-66.710
81,-67.894
82,-68.768
83,-68.768
84,-66.559
85,-68.769
86,-68.770
87,-68.771
88,-68.772
89,-67.572
90,-68.773
91,-68.774
92,-68.775
93,-68.775
94,-68.776
95,-68.776
96,-66.868
97,-66.636
98,-68.779
99,-68.780
100,-68.780
101,-68.781
102,-66.856
103,-66.870
104,-68.783
105,-68.784
106,-68.784
107,-68.785
108,-68.154
109,-68.787
110,-68.788
111,-68.788
112,-68.789
113,-68.790
114,-67.225
115,-68.791
116,-68.792
117,-67.392
118,-67.936
119,-68.794
120,-68.795
121,-68.796
122,-68.796
123,-67.404
124,-68.551
125,-68.799
126,-68.799
127,-68.607
128,-68.800
129,-68.801
130,-68.802
131,-68.803
132,-68.803
133,-68.804
134,-68.805
135,-67.366
136,-68.300
137,-68.806
138,-68.807
139,-68.808
140,-68.809
141,-68.810
142,-68.810
143,-68.811
144,-68.812
145,-68.813
146,-68.814
147,-66.617
148,-68.514
149,-68.816
150,-67.394
151,-68.453
152,-68.818
153,-68.322
154,-68.819
155,-68.820
156,-68.821
157,-68.822
158,-68.823
159,-67.948
160,-68.824
161,-68.824
162,-68.825
163,-68.826
164,-68.826
165,-68.827
166,-68.828
167,-68.829
168,-68.830
169,-68.830
170,-68.831
171,-68.832
172,-68.832
173,-68.833
174,-68.833
175,-66.427
176,-68.835
177,-68.836
178,-68.837
179,-68.837
180,-67.853
181,-68.839
182,-68.840
183,-68.841
184,-68.698
185,-67.440
186,-68.842
187,-68.843
188,-68.844
189,-68.845
190,-68.845
191,-68.846
192,-68.847
193,-68.848
194,-68.115
195,-68.779
196,-68.850
197,-68.851
198,-68.851
199,-68.852
200,-68.853
201,-68.591
202,-68.854
203,-68.855
204,-68.856
205,-68.857
206,-68.857
207,-68.858
208,-68.859
209,-68.860
210,-68.860
211,-67.867
212,-68.861
213,-68.862
214,-68.863
215,-68.864
216,-68.864
217,-68.865
218,-68.866
219,-68.867
220,-68.868
221,-68.868
222,-68.869
223,-67.317
224,-67.580
225,-66.534
226,-68.872
