Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,0.000945352
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.443516e-04,0.02
9.443518e-04,0.06
9.443520e-04,0.06
9.443522e-04,0.06
9.443524e-04,0.06
9.443526e-04,0.06
9.443528e-04,-0.02
9.443530e-04,0.06
9.443532e-04,0.06
9.443534e-04,0.06
9.443536e-04,0.06
9.443538e-04,0.02
9.443540e-04,0.02
9.443542e-04,0.02
9.443544e-04,0.06
9.443546e-04,0.02
9.443548e-04,0.06
9.443550e-04,0.06
9.443552e-04,-0.02
9.443554e-04,0.02
9.443556e-04,0.02
9.443558e-04,0.02
9.443560e-04,0.02
9.443562e-04,0.02
9.443564e-04,0.02
9.443566e-04,0.02
9.443568e-04,0.02
9.443570e-04,0.02
9.443572e-04,0.02
9.443574e-04,0.02
9.443576e-04,0.02
9.443578e-04,-0.02
9.443580e-04,0.02
9.443582e-04,0.06
9.443584e-04,-0.02
9.443586e-04,0.02
9.443588e-04,0.02
9.443590e-04,0.02
9.443592e-04,-0.06
9.443594e-04,0.06
9.443596e-04,0.1
9.443598e-04,0.06
9.443600e-04,0.02
9.443602e-04,0.02
9.443604e-04,0.02
9.443606e-04,-0.02
9.443608e-04,0.02
9.443610e-04,0.02
9.443612e-04,0.02
9.443614e-04,0.06
9.443616e-04,0.02
9.443618e-04,0.02
9.443620e-04,0.02
9.443622e-04,0.06
9.443624e-04,0.06
9.443626e-04,0.02
9.443628e-04,0.02
9.443630e-04,0.02
9.443632e-04,0.06
9.443634e-04,0.02
9.443636e-04,0.02
9.443638e-04,0.02
9.443640e-04,0.02
9.443642e-04,0.06
9.443644e-04,0.06
9.443646e-04,0.02
9.443648e-04,0.02
9.443650e-04,0.02
9.443652e-04,0.02
9.443654e-04,0.06
9.443656e-04,0.02
9.443658e-04,0.02
9.443660e-04,0.06
9.443662e-04,0.02
9.443664e-04,0.02
9.443666e-04,0.02
9.443668e-04,0.06
9.443670e-04,0.02
9.443672e-04,0.02
9.443674e-04,0.06
9.443676e-04,0.06
9.443678e-04,-0.02
9.443680e-04,-0.02
9.443682e-04,0.02
9.443684e-04,0.02
9.443686e-04,0.06
9.443688e-04,0.06
9.443690e-04,0.06
9.443692e-04,-0.02
9.443694e-04,0.02
9.443696e-04,0.06
9.443698e-04,0.02
9.443700e-04,0.06
9.443702e-04,0.1
9.443704e-04,0.02
9.443706e-04,0.02
9.443708e-04,0.06
9.443710e-04,0.06
9.443712e-04,0.02
9.443714e-04,0.06
9.443716e-04,0.02
9.443718e-04,0.06
9.443720e-04,0.02
9.443722e-04,0.02
9.443724e-04,0.02
9.443726e-04,0.02
9.443728e-04,0.02
9.443730e-04,0.02
9.443732e-04,-0.02
9.443734e-04,0.02
9.443736e-04,0.02
9.443738e-04,0.06
9.443740e-04,0.02
9.443742e-04,0.02
9.443744e-04,0.02
9.443746e-04,-0.02
9.443748e-04,-0.02
9.443750e-04,0.06
9.443752e-04,0.02
9.443754e-04,0.02
9.443756e-04,0.02
9.443758e-04,0.06
9.443760e-04,0.06
9.443762e-04,0.06
9.443764e-04,0.02
9.443766e-04,0.06
9.443768e-04,-0.02
9.443770e-04,0.02
9.443772e-04,0.02
9.443774e-04,-0.02
9.443776e-04,0.02
9.443778e-04,0.02
9.443780e-04,0.06
9.443782e-04,0.06
9.443784e-04,0.02
9.443786e-04,0.02
9.443788e-04,0.02
9.443790e-04,0.02
9.443792e-04,0.06
9.443794e-04,0.02
9.443796e-04,-0.02
9.443798e-04,0.02
9.443800e-04,0.02
9.443802e-04,0.02
9.443804e-04,0.02
9.443806e-04,0.02
9.443808e-04,0.02
9.443810e-04,0.02
9.443812e-04,0.02
9.443814e-04,0.02
9.443816e-04,-0.02
9.443818e-04,0.02
9.443820e-04,0.02
9.443822e-04,0.06
9.443824e-04,0.02
9.443826e-04,0.02
9.443828e-04,0.02
9.443830e-04,0.02
9.443832e-04,0.02
9.443834e-04,0.02
9.443836e-04,0.02
9.443838e-04,0.06
9.443840e-04,0.02
9.443842e-04,0.06
9.443844e-04,0.02
9.443846e-04,0.02
9.443848e-04,0.06
9.443850e-04,0.06
9.443852e-04,0.02
9.443854e-04,0.02
9.443856e-04,0.02
9.443858e-04,-0.02
9.443860e-04,0.02
9.443862e-04,0.06
9.443864e-04,0.06
9.443866e-04,0.02
9.443868e-04,0.02
9.443870e-04,0.02
9.443872e-04,0.02
9.443874e-04,0.02
9.443876e-04,0.02
9.443878e-04,0.06
9.443880e-04,0.06
9.443882e-04,0.1
9.443884e-04,0.02
9.443886e-04,0.02
9.443888e-04,0.02
9.443890e-04,0.06
9.443892e-04,0.02
9.443894e-04,0.02
9.443896e-04,0.02
9.443898e-04,0.02
9.443900e-04,0.02
9.443902e-04,0.06
9.443904e-04,0.02
9.443906e-04,0.06
9.443908e-04,0.02
9.443910e-04,0.02
9.443912e-04,-0.02
9.443914e-04,0.06
9.443916e-04,0.06
9.443918e-04,0.1
9.443920e-04,0.06
9.443922e-04,0.06
9.443924e-04,0.02
9.443926e-04,0.06
9.443928e-04,0.02
9.443930e-04,0.02
9.443932e-04,0.06
9.443934e-04,0.1
9.443936e-04,-0.02
9.443938e-04,0.02
9.443940e-04,0.02
9.443942e-04,0.02
9.443944e-04,0.06
9.443946e-04,0.02
9.443948e-04,0.02
9.443950e-04,0.02
9.443952e-04,0.06
9.443954e-04,0.06
9.443956e-04,0.02
9.443958e-04,0.02
9.443960e-04,0.02
9.443962e-04,0.1
9.443964e-04,0.02
9.443966e-04,0.06
9.443968e-04,0.02
9.443970e-04,0.02
9.443972e-04,0.02
9.443974e-04,0.1
9.443976e-04,0.1
9.443978e-04,0.02
9.443980e-04,0.02
9.443982e-04,0.06
9.443984e-04,0.06
9.443986e-04,0.06
9.443988e-04,0.02
9.443990e-04,-0.02
9.443992e-04,-0.02
9.443994e-04,0.02
9.443996e-04,0.02
9.443998e-04,0.02
9.444000e-04,-0.02
9.444002e-04,0.06
9.444004e-04,0.06
9.444006e-04,0.1
9.444008e-04,0.02
9.444010e-04,0.02
9.444012e-04,0.06
9.444014e-04,0.06
9.444016e-04,0.06
9.444018e-04,0.02
9.444020e-04,0.02
9.444022e-04,0.02
9.444024e-04,0.02
9.444026e-04,0.02
9.444028e-04,0.02
9.444030e-04,0.02
9.444032e-04,-0.02
9.444034e-04,0.02
9.444036e-04,-0.02
9.444038e-04,0.02
9.444040e-04,0.02
9.444042e-04,0.02
9.444044e-04,-0.02
9.444046e-04,0.02
9.444048e-04,0.02
9.444050e-04,0.02
9.444052e-04,0.02
9.444054e-04,0.02
9.444056e-04,0.02
9.444058e-04,0.02
9.444060e-04,0.02
9.444062e-04,0.02
9.444064e-04,-0.02
9.444066e-04,0.02
9.444068e-04,0.02
9.444070e-04,0.06
9.444072e-04,0.06
9.444074e-04,0.02
9.444076e-04,0.02
9.444078e-04,0.02
9.444080e-04,-0.02
9.444082e-04,-0.02
9.444084e-04,0.02
9.444086e-04,0.02
9.444088e-04,0.06
9.444090e-04,-0.02
9.444092e-04,0.06
9.444094e-04,0.02
9.444096e-04,0.02
9.444098e-04,0.06
9.444100e-04,0.06
9.444102e-04,0.06
9.444104e-04,0.06
9.444106e-04,0.06
9.444108e-04,0.02
9.444110e-04,0.06
9.444112e-04,0.02
9.444114e-04,0.02
9.444116e-04,0.02
9.444118e-04,0.02
9.444120e-04,0.02
9.444122e-04,0.06
9.444124e-04,0.02
9.444126e-04,0.02
9.444128e-04,0.02
9.444130e-04,0.02
9.444132e-04,0.02
9.444134e-04,0.06
9.444136e-04,0.06
9.444138e-04,0.02
9.444140e-04,-0.02
9.444142e-04,0.06
9.444144e-04,0.06
9.444146e-04,0.02
9.444148e-04,-0.02
9.444150e-04,0.02
9.444152e-04,0.02
9.444154e-04,0.06
9.444156e-04,0.06
9.444158e-04,0.02
9.444160e-04,0.02
9.444162e-04,0.02
9.444164e-04,0.02
9.444166e-04,0.02
9.444168e-04,0.06
9.444170e-04,0.06
9.444172e-04,0.06
9.444174e-04,0.02
9.444176e-04,0.02
9.444178e-04,0.02
9.444180e-04,0.02
9.444182e-04,-0.02
9.444184e-04,0.02
9.444186e-04,0.02
9.444188e-04,0.02
9.444190e-04,0.02
9.444192e-04,0.02
9.444194e-04,-0.02
9.444196e-04,0.02
9.444198e-04,0.02
9.444200e-04,0.06
9.444202e-04,0.02
9.444204e-04,0.02
9.444206e-04,0.02
9.444208e-04,0.02
9.444210e-04,0.1
9.444212e-04,0.02
9.444214e-04,0.06
9.444216e-04,0.02
9.444218e-04,0.02
9.444220e-04,0.02
9.444222e-04,0.02
9.444224e-04,0.06
9.444226e-04,0.02
9.444228e-04,0.02
9.444230e-04,0.06
9.444232e-04,-0.02
9.444234e-04,0.02
9.444236e-04,0.06
9.444238e-04,0.02
9.444240e-04,0.02
9.444242e-04,0.02
9.444244e-04,0.06
9.444246e-04,0.1
9.444248e-04,0.02
9.444250e-04,0.02
9.444252e-04,0.02
9.444254e-04,0.02
9.444256e-04,0.02
9.444258e-04,0.02
9.444260e-04,0.02
9.444262e-04,-0.02
9.444264e-04,0.02
9.444266e-04,0.02
9.444268e-04,-0.06
9.444270e-04,0.02
9.444272e-04,0.02
9.444274e-04,0.06
9.444276e-04,0.02
9.444278e-04,0.02
9.444280e-04,0.02
9.444282e-04,0.1
9.444284e-04,0.06
9.444286e-04,-0.02
9.444288e-04,-0.02
9.444290e-04,0.02
9.444292e-04,0.02
9.444294e-04,0.06
9.444296e-04,0.02
9.444298e-04,-0.06
9.444300e-04,-0.02
9.444302e-04,0.02
9.444304e-04,0.06
9.444306e-04,0.06
9.444308e-04,0.02
9.444310e-04,0.02
9.444312e-04,0.02
9.444314e-04,0.02
9.444316e-04,0.02
9.444318e-04,0.02
9.444320e-04,0.06
9.444322e-04,0.02
9.444324e-04,-0.02
9.444326e-04,-0.02
9.444328e-04,0.02
9.444330e-04,-0.02
9.444332e-04,-0.02
9.444334e-04,0.02
9.444336e-04,0.02
9.444338e-04,0.06
9.444340e-04,0.06
9.444342e-04,0.06
9.444344e-04,0.02
9.444346e-04,-0.02
9.444348e-04,0.02
9.444350e-04,0.02
9.444352e-04,0.02
9.444354e-04,0.02
9.444356e-04,0.02
9.444358e-04,0.06
9.444360e-04,0.02
9.444362e-04,-0.02
9.444364e-04,0.02
9.444366e-04,0.02
9.444368e-04,0.02
9.444370e-04,0.1
9.444372e-04,-0.02
9.444374e-04,0.02
9.444376e-04,0.02
9.444378e-04,0.06
9.444380e-04,0.06
9.444382e-04,0.06
9.444384e-04,-0.02
9.444386e-04,0.02
9.444388e-04,0.02
9.444390e-04,0.02
9.444392e-04,0.06
9.444394e-04,0.02
9.444396e-04,0.02
9.444398e-04,0.06
9.444400e-04,0.02
9.444402e-04,0.06
9.444404e-04,0.06
9.444406e-04,0.02
9.444408e-04,0.02
9.444410e-04,0.06
9.444412e-04,0.02
9.444414e-04,0.06
9.444416e-04,0.02
9.444418e-04,0.06
9.444420e-04,0.1
9.444422e-04,0.06
9.444424e-04,0.02
9.444426e-04,0.02
9.444428e-04,0.02
9.444430e-04,0.06
9.444432e-04,0.06
9.444434e-04,0.02
9.444436e-04,0.06
9.444438e-04,0.06
9.444440e-04,0.02
9.444442e-04,0.02
9.444444e-04,0.06
9.444446e-04,0.06
9.444448e-04,0.02
9.444450e-04,0.02
9.444452e-04,0.02
9.444454e-04,0.02
9.444456e-04,0.02
9.444458e-04,0.02
9.444460e-04,0.06
9.444462e-04,0.02
9.444464e-04,0.02
9.444466e-04,-0.02
9.444468e-04,0.02
