Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-08
Horizontal Delay,0.000945365
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.54
,
,
,
Label,
TIME,CH4
9.443647e-04,0.01
9.443649e-04,0.01
9.443651e-04,-0.01
9.443653e-04,-0.01
9.443655e-04,0.03
9.443657e-04,-0.01
9.443659e-04,0.01
9.443661e-04,0.01
9.443663e-04,0.01
9.443665e-04,-0.01
9.443667e-04,0.03
9.443669e-04,0.01
9.443671e-04,0.03
9.443673e-04,0.01
9.443675e-04,0.01
9.443677e-04,0.03
9.443679e-04,0.01
9.443681e-04,-0.01
9.443683e-04,0.03
9.443685e-04,-0.01
9.443687e-04,0.01
9.443689e-04,0.01
9.443691e-04,0.01
9.443693e-04,0.03
9.443695e-04,0.03
9.443697e-04,0.01
9.443699e-04,0.01
9.443701e-04,0.01
9.443703e-04,0.01
9.443705e-04,0.01
9.443707e-04,0.01
9.443709e-04,0.01
9.443711e-04,0.01
9.443713e-04,0.01
9.443715e-04,0.03
9.443717e-04,0.01
9.443719e-04,0.01
9.443721e-04,0.03
9.443723e-04,0.03
9.443725e-04,0.01
9.443727e-04,0.01
9.443729e-04,0.01
9.443731e-04,0.03
9.443733e-04,-0.01
9.443735e-04,0.03
9.443737e-04,0.01
9.443739e-04,0.05
9.443741e-04,0.03
9.443743e-04,0.01
9.443745e-04,-0.01
9.443747e-04,0.05
9.443749e-04,0.05
9.443751e-04,0.05
9.443753e-04,0.01
9.443755e-04,0.01
9.443757e-04,0.01
9.443759e-04,0.01
9.443761e-04,-0.01
9.443763e-04,0.03
9.443765e-04,0.03
9.443767e-04,0.01
9.443769e-04,0.01
9.443771e-04,0.03
9.443773e-04,0.03
9.443775e-04,0.05
9.443777e-04,0.05
9.443779e-04,0.03
9.443781e-04,0.03
9.443783e-04,0.01
9.443785e-04,0.03
9.443787e-04,0.01
9.443789e-04,0.03
9.443791e-04,0.01
9.443793e-04,0.01
9.443795e-04,0.01
9.443797e-04,0.01
9.443799e-04,0.03
9.443801e-04,0.03
9.443803e-04,0.01
9.443805e-04,0.01
9.443807e-04,0.01
9.443809e-04,0.01
9.443811e-04,0.01
9.443813e-04,0.03
9.443815e-04,0.03
9.443817e-04,0.03
9.443819e-04,0.01
9.443821e-04,0.01
9.443823e-04,0.07
9.443825e-04,0.03
9.443827e-04,0.01
9.443829e-04,0.03
9.443831e-04,0.05
9.443833e-04,0.01
9.443835e-04,-0.01
9.443837e-04,-0.01
9.443839e-04,-0.01
9.443841e-04,-0.01
9.443843e-04,0.01
9.443845e-04,0.05
9.443847e-04,0.03
9.443849e-04,-0.01
9.443851e-04,0.01
9.443853e-04,0.03
9.443855e-04,0.03
9.443857e-04,-0.01
9.443859e-04,0.03
9.443861e-04,0.05
9.443863e-04,0.01
9.443865e-04,0.01
9.443867e-04,0.01
9.443869e-04,0.03
9.443871e-04,0.01
9.443873e-04,0.01
9.443875e-04,0.03
9.443877e-04,0.01
9.443879e-04,0.01
9.443881e-04,0.03
9.443883e-04,0.03
9.443885e-04,0.01
9.443887e-04,0.03
9.443889e-04,0.03
9.443891e-04,0.01
9.443893e-04,0.01
9.443895e-04,0.03
9.443897e-04,0.03
9.443899e-04,0.03
9.443901e-04,-0.01
9.443903e-04,0.01
9.443905e-04,0.01
9.443907e-04,0.05
9.443909e-04,0.03
9.443911e-04,0.05
9.443913e-04,0.01
9.443915e-04,0.01
9.443917e-04,0.01
9.443919e-04,0.01
9.443921e-04,0.05
9.443923e-04,0.03
9.443925e-04,0.01
9.443927e-04,0.03
9.443929e-04,0.03
9.443931e-04,0.01
9.443933e-04,0.03
9.443935e-04,0.03
9.443937e-04,0.03
9.443939e-04,0.01
9.443941e-04,0.01
9.443943e-04,-0.01
9.443945e-04,0.01
9.443947e-04,0.05
9.443949e-04,0.01
9.443951e-04,-0.01
9.443953e-04,-0.01
9.443955e-04,0.01
9.443957e-04,-0.01
9.443959e-04,-0.01
9.443961e-04,0.03
9.443963e-04,0.01
9.443965e-04,0.01
9.443967e-04,0.03
9.443969e-04,0.03
9.443971e-04,0.03
9.443973e-04,0.01
9.443975e-04,0.03
9.443977e-04,0.01
9.443979e-04,0.03
9.443981e-04,0.01
9.443983e-04,-0.01
9.443985e-04,-0.01
9.443987e-04,0.01
9.443989e-04,0.01
9.443991e-04,0.01
9.443993e-04,0.01
9.443995e-04,0.03
9.443997e-04,0.01
9.443999e-04,0.01
9.444001e-04,-0.01
9.444003e-04,0.03
9.444005e-04,0.01
9.444007e-04,0.01
9.444009e-04,0.01
9.444011e-04,0.03
9.444013e-04,0.01
9.444015e-04,-0.01
9.444017e-04,-0.01
9.444019e-04,0.03
9.444021e-04,0.03
9.444023e-04,0.01
9.444025e-04,0.01
9.444027e-04,0.01
9.444029e-04,0.01
9.444031e-04,0.01
9.444033e-04,0.03
9.444035e-04,0.03
9.444037e-04,0.03
9.444039e-04,-0.01
9.444041e-04,0.01
9.444043e-04,0.01
9.444045e-04,0.03
9.444047e-04,0.03
9.444049e-04,0.03
9.444051e-04,0.05
9.444053e-04,0.05
9.444055e-04,0.01
9.444057e-04,0.03
9.444059e-04,0.03
9.444061e-04,0.03
9.444063e-04,0.03
9.444065e-04,0.01
9.444067e-04,0.01
9.444069e-04,0.03
9.444071e-04,0.03
9.444073e-04,0.01
9.444075e-04,0.03
9.444077e-04,0.03
9.444079e-04,0.01
9.444081e-04,0.01
9.444083e-04,0.03
9.444085e-04,0.03
9.444087e-04,0.03
9.444089e-04,0.01
9.444091e-04,0.01
9.444093e-04,0.01
9.444095e-04,0.03
9.444097e-04,0.05
9.444099e-04,0.03
9.444101e-04,0.01
9.444103e-04,-0.01
9.444105e-04,0.01
9.444107e-04,0.03
9.444109e-04,0.01
9.444111e-04,0.03
9.444113e-04,0.03
9.444115e-04,0.03
9.444117e-04,0.05
9.444119e-04,0.03
9.444121e-04,0.03
9.444123e-04,0.01
9.444125e-04,0.03
9.444127e-04,-0.01
9.444129e-04,-0.01
9.444131e-04,-0.01
9.444133e-04,0.01
9.444135e-04,0.03
9.444137e-04,0.03
9.444139e-04,0.01
9.444141e-04,-0.01
9.444143e-04,-0.01
9.444145e-04,-0.01
9.444147e-04,0.01
9.444149e-04,0.03
9.444151e-04,0.01
9.444153e-04,0.03
9.444155e-04,0.01
9.444157e-04,0.01
9.444159e-04,0.03
9.444161e-04,0.03
9.444163e-04,0.03
9.444165e-04,0.01
9.444167e-04,0.01
9.444169e-04,0.01
9.444171e-04,-0.01
9.444173e-04,0.03
9.444175e-04,0.03
9.444177e-04,0.03
9.444179e-04,0.01
9.444181e-04,0.01
9.444183e-04,0.03
9.444185e-04,0.05
9.444187e-04,0.03
9.444189e-04,0.03
9.444191e-04,0.03
9.444193e-04,0.05
9.444195e-04,0.01
9.444197e-04,0.01
9.444199e-04,0.03
9.444201e-04,0.01
9.444203e-04,0.01
9.444205e-04,0.01
9.444207e-04,0.01
9.444209e-04,0.01
9.444211e-04,0.03
9.444213e-04,0.03
9.444215e-04,0.03
9.444217e-04,0.01
9.444219e-04,0.03
9.444221e-04,0.03
9.444223e-04,0.01
9.444225e-04,0.03
9.444227e-04,0.03
9.444229e-04,0.03
9.444231e-04,0.01
9.444233e-04,-0.01
9.444235e-04,0.01
9.444237e-04,0.01
9.444239e-04,0.07
9.444241e-04,0.05
9.444243e-04,0.05
9.444245e-04,0.05
9.444247e-04,0.03
9.444249e-04,0.01
9.444251e-04,0.01
9.444253e-04,0.01
9.444255e-04,0.03
9.444257e-04,0.01
9.444259e-04,-0.01
9.444261e-04,-0.01
9.444263e-04,0.01
9.444265e-04,0.01
9.444267e-04,0.01
9.444269e-04,-0.03
9.444271e-04,0.01
9.444273e-04,0.01
9.444275e-04,0.01
9.444277e-04,0.01
9.444279e-04,0.03
9.444281e-04,-0.01
9.444283e-04,0.01
9.444285e-04,-0.01
9.444287e-04,-0.01
9.444289e-04,0.03
9.444291e-04,0.03
9.444293e-04,-0.01
9.444295e-04,-0.01
9.444297e-04,0.03
9.444299e-04,0.03
9.444301e-04,0.03
9.444303e-04,0.01
9.444305e-04,-0.01
9.444307e-04,-0.01
9.444309e-04,0.03
9.444311e-04,0.01
9.444313e-04,0.03
9.444315e-04,0.03
9.444317e-04,-0.01
9.444319e-04,0.01
9.444321e-04,0.03
9.444323e-04,0.01
9.444325e-04,0.03
9.444327e-04,-0.01
9.444329e-04,0.03
9.444331e-04,0.05
9.444333e-04,0.03
9.444335e-04,-0.01
9.444337e-04,0.03
9.444339e-04,0.03
9.444341e-04,0.01
9.444343e-04,0.03
9.444345e-04,-0.01
9.444347e-04,-0.01
9.444349e-04,-0.01
9.444351e-04,-0.01
9.444353e-04,0.03
9.444355e-04,0.03
9.444357e-04,0.01
9.444359e-04,-0.01
9.444361e-04,0.03
9.444363e-04,0.05
9.444365e-04,0.01
9.444367e-04,0.01
9.444369e-04,0.03
9.444371e-04,0.05
9.444373e-04,0.01
9.444375e-04,0.01
9.444377e-04,0.03
9.444379e-04,0.01
9.444381e-04,0.03
9.444383e-04,0.01
9.444385e-04,-0.01
9.444387e-04,-0.01
9.444389e-04,0.03
9.444391e-04,0.01
9.444393e-04,0.03
9.444395e-04,0.01
9.444397e-04,-0.01
9.444399e-04,0.03
9.444401e-04,0.01
9.444403e-04,0.03
9.444405e-04,0.03
9.444407e-04,0.01
9.444409e-04,0.01
9.444411e-04,0.03
9.444413e-04,0.03
9.444415e-04,-0.01
9.444417e-04,0.01
9.444419e-04,0.01
9.444421e-04,0.01
9.444423e-04,0.01
9.444425e-04,0.01
9.444427e-04,0.01
9.444429e-04,0.01
9.444431e-04,0.01
9.444433e-04,0.03
9.444435e-04,0.03
9.444437e-04,0.01
9.444439e-04,0.01
9.444441e-04,0.01
9.444443e-04,0.03
9.444445e-04,0.03
9.444447e-04,0.05
9.444449e-04,0.01
9.444451e-04,0.03
9.444453e-04,0.01
9.444455e-04,0.03
9.444457e-04,0.03
9.444459e-04,0.05
9.444461e-04,0.05
9.444463e-04,0.01
9.444465e-04,0.03
9.444467e-04,0.03
9.444469e-04,0.03
9.444471e-04,0.01
9.444473e-04,0.05
9.444475e-04,0.01
9.444477e-04,-0.01
9.444479e-04,0.03
9.444481e-04,0.03
9.444483e-04,0.03
9.444485e-04,-0.01
9.444487e-04,-0.01
9.444489e-04,0.01
9.444491e-04,0.03
9.444493e-04,0.07
9.444495e-04,0.03
9.444497e-04,0.03
9.444499e-04,0.03
9.444501e-04,0.03
9.444503e-04,0.01
9.444505e-04,0.01
9.444507e-04,0.05
9.444509e-04,0.03
9.444511e-04,0.03
9.444513e-04,0.01
9.444515e-04,0.01
9.444517e-04,0.03
9.444519e-04,0.03
9.444521e-04,0.03
9.444523e-04,0.01
9.444525e-04,0.01
9.444527e-04,0.01
9.444529e-04,0.01
9.444531e-04,0.01
9.444533e-04,0.01
9.444535e-04,0.03
9.444537e-04,0.01
9.444539e-04,0.03
9.444541e-04,0.01
9.444543e-04,0.01
9.444545e-04,0.01
9.444547e-04,0.03
9.444549e-04,0.03
9.444551e-04,0.01
9.444553e-04,0.01
9.444555e-04,0.03
9.444557e-04,0.03
9.444559e-04,0.03
9.444561e-04,0.03
9.444563e-04,-0.01
9.444565e-04,0.01
9.444567e-04,0.01
9.444569e-04,0.05
9.444571e-04,0.03
9.444573e-04,0.01
9.444575e-04,0.01
9.444577e-04,0.01
9.444579e-04,0.03
9.444581e-04,0.01
9.444583e-04,0.03
9.444585e-04,0.03
9.444587e-04,-0.01
9.444589e-04,0.05
9.444591e-04,0.01
9.444593e-04,0.01
9.444595e-04,0.01
9.444597e-04,0.01
