Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-05
Horizontal Delay,0.00096833
Sample Interval,1e-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.183300e-04,0.01
9.183400e-04,0.01
9.183500e-04,0.01
9.183600e-04,0.01
9.183700e-04,0.01
9.183800e-04,0.01
9.183900e-04,0.01
9.184000e-04,0.01
9.184100e-04,0.01
9.184200e-04,0.01
9.184300e-04,0.03
9.184400e-04,0.03
9.184500e-04,0.01
9.184600e-04,0.03
9.184700e-04,0.01
9.184800e-04,0.01
9.184900e-04,0.01
9.185000e-04,0.01
9.185100e-04,0.01
9.185200e-04,0.01
9.185300e-04,-0.01
9.185400e-04,0.01
9.185500e-04,0.03
9.185600e-04,0.01
9.185700e-04,0.03
9.185800e-04,0.01
9.185900e-04,0.03
9.186000e-04,0.03
9.186100e-04,0.03
9.186200e-04,0.01
9.186300e-04,0.01
9.186400e-04,0.01
9.186500e-04,0.01
9.186600e-04,0.01
9.186700e-04,0.03
9.186800e-04,0.01
9.186900e-04,0.01
9.187000e-04,0.03
9.187100e-04,0.01
9.187200e-04,0.01
9.187300e-04,0.01
9.187400e-04,0.01
9.187500e-04,0.03
9.187600e-04,0.01
9.187700e-04,0.03
9.187800e-04,0.03
9.187900e-04,0.01
9.188000e-04,-0.01
9.188100e-04,0.03
9.188200e-04,0.03
9.188300e-04,0.01
9.188400e-04,-0.01
9.188500e-04,0.03
9.188600e-04,0.01
9.188700e-04,0.03
9.188800e-04,0.01
9.188900e-04,-0.01
9.189000e-04,0.01
9.189100e-04,-0.01
9.189200e-04,0.05
9.189300e-04,0.01
9.189400e-04,0.03
9.189500e-04,0.05
9.189600e-04,0.01
9.189700e-04,0.01
9.189800e-04,0.03
9.189900e-04,0.01
9.190000e-04,0.03
9.190100e-04,0.03
9.190200e-04,0.01
9.190300e-04,0.01
9.190400e-04,0.01
9.190500e-04,0.01
9.190600e-04,0.01
9.190700e-04,0.01
9.190800e-04,-0.01
9.190900e-04,0.03
9.191000e-04,-0.01
9.191100e-04,0.01
9.191200e-04,0.01
9.191300e-04,0.01
9.191400e-04,0.01
9.191500e-04,0.01
9.191600e-04,0.01
9.191700e-04,0.01
9.191800e-04,0.03
9.191900e-04,0.01
9.192000e-04,0.03
9.192100e-04,0.03
9.192200e-04,0.01
9.192300e-04,0.01
9.192400e-04,0.01
9.192500e-04,-0.01
9.192600e-04,-0.01
9.192700e-04,0.01
9.192800e-04,-0.03
9.192900e-04,0.01
9.193000e-04,-0.01
9.193100e-04,0.03
9.193200e-04,0.01
9.193300e-04,0.01
9.193400e-04,0.01
9.193500e-04,0.01
9.193600e-04,0.01
9.193700e-04,-0.01
9.193800e-04,0.01
9.193900e-04,0.03
9.194000e-04,0.01
9.194100e-04,-0.01
9.194200e-04,0.01
9.194300e-04,0.01
9.194400e-04,0.03
9.194500e-04,0.01
9.194600e-04,-0.01
9.194700e-04,0.01
9.194800e-04,0.01
9.194900e-04,0.03
9.195000e-04,0.01
9.195100e-04,0.01
9.195200e-04,0.01
9.195300e-04,0.01
9.195400e-04,0.03
9.195500e-04,0.01
9.195600e-04,-0.01
9.195700e-04,0.01
9.195800e-04,0.01
9.195900e-04,0.01
9.196000e-04,0.01
9.196100e-04,0.03
9.196200e-04,-0.01
9.196300e-04,0.01
9.196400e-04,0.01
9.196500e-04,0.01
9.196600e-04,0.03
9.196700e-04,0.01
9.196800e-04,0.03
9.196900e-04,0.03
9.197000e-04,0.01
9.197100e-04,0.01
9.197200e-04,0.03
9.197300e-04,0.03
9.197400e-04,0.03
9.197500e-04,0.01
9.197600e-04,0.01
9.197700e-04,0.01
9.197800e-04,0.03
9.197900e-04,0.03
9.198000e-04,0.01
9.198100e-04,0.03
9.198200e-04,0.03
9.198300e-04,-0.01
9.198400e-04,0.01
9.198500e-04,0.01
9.198600e-04,0.03
9.198700e-04,0.01
9.198800e-04,0.01
9.198900e-04,0.03
9.199000e-04,0.01
9.199100e-04,0.03
9.199200e-04,0.01
9.199300e-04,0.01
9.199400e-04,0.01
9.199500e-04,0.01
9.199600e-04,0.01
9.199700e-04,0.03
9.199800e-04,0.01
9.199900e-04,0.01
9.200000e-04,0.01
9.200100e-04,-0.01
9.200200e-04,0.01
9.200300e-04,0.03
9.200400e-04,0.01
9.200500e-04,0.03
9.200600e-04,0.01
9.200700e-04,0.01
9.200800e-04,0.01
9.200900e-04,0.01
9.201000e-04,0.01
9.201100e-04,0.01
9.201200e-04,0.01
9.201300e-04,0.01
9.201400e-04,0.03
9.201500e-04,-0.01
9.201600e-04,0.01
9.201700e-04,0.01
9.201800e-04,0.01
9.201900e-04,0.01
9.202000e-04,0.03
9.202100e-04,0.01
9.202200e-04,-0.01
9.202300e-04,0.03
9.202400e-04,0.01
9.202500e-04,0.01
9.202600e-04,0.01
9.202700e-04,0.03
9.202800e-04,0.01
9.202900e-04,0.03
9.203000e-04,0.01
9.203100e-04,-0.01
9.203200e-04,0.01
9.203300e-04,0.01
9.203400e-04,0.03
9.203500e-04,0.01
9.203600e-04,-0.01
9.203700e-04,0.03
9.203800e-04,0.03
9.203900e-04,0.01
9.204000e-04,0.01
9.204100e-04,0.01
9.204200e-04,0.03
9.204300e-04,0.03
9.204400e-04,0.03
9.204500e-04,0.01
9.204600e-04,0.05
9.204700e-04,0.03
9.204800e-04,-0.01
9.204900e-04,0.01
9.205000e-04,0.01
9.205100e-04,0.03
9.205200e-04,0.01
9.205300e-04,0.03
9.205400e-04,-0.01
9.205500e-04,0.03
9.205600e-04,0.01
9.205700e-04,0.01
9.205800e-04,0.01
9.205900e-04,0.03
9.206000e-04,-0.01
9.206100e-04,0.03
9.206200e-04,0.01
9.206300e-04,0.01
9.206400e-04,0.01
9.206500e-04,0.01
9.206600e-04,0.01
9.206700e-04,0.03
9.206800e-04,0.01
9.206900e-04,0.03
9.207000e-04,0.03
9.207100e-04,0.01
9.207200e-04,0.03
9.207300e-04,0.03
9.207400e-04,0.01
9.207500e-04,0.01
9.207600e-04,-0.01
9.207700e-04,0.03
9.207800e-04,0.03
9.207900e-04,0.01
9.208000e-04,0.01
9.208100e-04,0.01
9.208200e-04,0.03
9.208300e-04,0.01
9.208400e-04,0.01
9.208500e-04,0.01
9.208600e-04,0.05
9.208700e-04,0.01
9.208800e-04,0.03
9.208900e-04,-0.01
9.209000e-04,0.01
9.209100e-04,0.03
9.209200e-04,0.03
9.209300e-04,0.01
9.209400e-04,0.01
9.209500e-04,0.03
9.209600e-04,0.03
9.209700e-04,-0.01
9.209800e-04,0.03
9.209900e-04,0.01
9.210000e-04,-0.01
9.210100e-04,0.01
9.210200e-04,0.01
9.210300e-04,0.03
9.210400e-04,0.01
9.210500e-04,0.03
9.210600e-04,0.01
9.210700e-04,0.03
9.210800e-04,0.01
9.210900e-04,0.03
9.211000e-04,-0.01
9.211100e-04,0.03
9.211200e-04,0.01
9.211300e-04,0.03
9.211400e-04,-0.01
9.211500e-04,0.03
9.211600e-04,0.05
9.211700e-04,0.01
9.211800e-04,0.03
9.211900e-04,0.05
9.212000e-04,0.01
9.212100e-04,0.01
9.212200e-04,0.01
9.212300e-04,0.01
9.212400e-04,0.01
9.212500e-04,0.03
9.212600e-04,0.03
9.212700e-04,-0.01
9.212800e-04,0.01
9.212900e-04,0.01
9.213000e-04,-0.01
9.213100e-04,0.01
9.213200e-04,-0.01
9.213300e-04,0.01
9.213400e-04,0.03
9.213500e-04,0.01
9.213600e-04,-0.01
9.213700e-04,0.03
9.213800e-04,0.03
9.213900e-04,0.03
9.214000e-04,0.03
9.214100e-04,0.03
9.214200e-04,0.01
9.214300e-04,0.01
9.214400e-04,0.01
9.214500e-04,0.03
9.214600e-04,0.01
9.214700e-04,0.01
9.214800e-04,0.03
9.214900e-04,0.01
9.215000e-04,-0.01
9.215100e-04,0.03
9.215200e-04,-0.01
9.215300e-04,0.03
9.215400e-04,0.01
9.215500e-04,0.03
9.215600e-04,0.01
9.215700e-04,0.01
9.215800e-04,0.01
9.215900e-04,-0.01
9.216000e-04,0.01
9.216100e-04,0.01
9.216200e-04,-0.03
9.216300e-04,0.01
9.216400e-04,0.01
9.216500e-04,0.01
9.216600e-04,0.01
9.216700e-04,0.01
9.216800e-04,0.03
9.216900e-04,0.03
9.217000e-04,0.01
9.217100e-04,0.01
9.217200e-04,-0.01
9.217300e-04,0.03
9.217400e-04,0.03
9.217500e-04,0.03
9.217600e-04,0.01
9.217700e-04,0.01
9.217800e-04,0.03
9.217900e-04,0.03
9.218000e-04,0.01
9.218100e-04,0.01
9.218200e-04,0.03
9.218300e-04,0.03
9.218400e-04,0.01
9.218500e-04,0.01
9.218600e-04,0.03
9.218700e-04,0.01
9.218800e-04,0.01
9.218900e-04,0.01
9.219000e-04,0.01
9.219100e-04,-0.03
9.219200e-04,0.03
9.219300e-04,0.01
9.219400e-04,0.01
9.219500e-04,-0.01
9.219600e-04,0.01
9.219700e-04,0.01
9.219800e-04,-0.01
9.219900e-04,0.01
9.220000e-04,0.03
9.220100e-04,0.03
9.220200e-04,0.01
9.220300e-04,0.01
9.220400e-04,0.01
9.220500e-04,0.01
9.220600e-04,0.03
9.220700e-04,0.01
9.220800e-04,0.01
9.220900e-04,0.01
9.221000e-04,0.01
9.221100e-04,0.01
9.221200e-04,0.01
9.221300e-04,0.03
9.221400e-04,0.03
9.221500e-04,0.01
9.221600e-04,0.01
9.221700e-04,0.01
9.221800e-04,0.01
9.221900e-04,0.03
9.222000e-04,0.01
9.222100e-04,0.03
9.222200e-04,0.01
9.222300e-04,0.01
9.222400e-04,0.01
9.222500e-04,0.01
9.222600e-04,0.01
9.222700e-04,0.03
9.222800e-04,0.01
9.222900e-04,0.01
9.223000e-04,0.01
9.223100e-04,-0.01
9.223200e-04,0.01
9.223300e-04,0.01
9.223400e-04,0.01
9.223500e-04,0.01
9.223600e-04,0.01
9.223700e-04,0.01
9.223800e-04,0.01
9.223900e-04,-0.01
9.224000e-04,0.01
9.224100e-04,-0.01
9.224200e-04,0.01
9.224300e-04,0.01
9.224400e-04,-0.01
9.224500e-04,0.03
9.224600e-04,0.03
9.224700e-04,0.03
9.224800e-04,0.03
9.224900e-04,0.03
9.225000e-04,0.01
9.225100e-04,-0.01
9.225200e-04,-0.01
9.225300e-04,0.01
9.225400e-04,0.03
9.225500e-04,0.01
9.225600e-04,0.01
9.225700e-04,-0.01
9.225800e-04,-0.01
9.225900e-04,0.01
9.226000e-04,0.01
9.226100e-04,0.01
9.226200e-04,0.03
9.226300e-04,0.01
9.226400e-04,0.03
9.226500e-04,0.03
9.226600e-04,0.01
9.226700e-04,-0.01
9.226800e-04,0.01
9.226900e-04,0.03
9.227000e-04,-0.01
9.227100e-04,0.01
9.227200e-04,0.05
9.227300e-04,0.03
9.227400e-04,0.01
9.227500e-04,0.01
9.227600e-04,0.01
9.227700e-04,0.01
9.227800e-04,0.03
9.227900e-04,0.03
9.228000e-04,0.07
9.228100e-04,0.01
9.228200e-04,0.01
9.228300e-04,0.03
9.228400e-04,0.01
9.228500e-04,0.03
9.228600e-04,0.03
9.228700e-04,0.01
9.228800e-04,-0.03
9.228900e-04,0.01
9.229000e-04,0.01
9.229100e-04,0.01
9.229200e-04,0.01
9.229300e-04,0.01
9.229400e-04,0.01
9.229500e-04,-0.01
9.229600e-04,0.03
9.229700e-04,0.03
9.229800e-04,0.01
9.229900e-04,0.01
9.230000e-04,0.01
9.230100e-04,0.01
9.230200e-04,0.03
9.230300e-04,0.01
9.230400e-04,0.03
9.230500e-04,0.01
9.230600e-04,-0.01
9.230700e-04,0.01
9.230800e-04,0.01
9.230900e-04,0.01
