TYPE,TRACE,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE & TIME,03Nov2023 06:48AM MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTRUMENT,86140A,SN US38380207,REV A.01.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR/VACUUM/STP,VACUUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACE,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,1025.25,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOP,1035.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORIZONTAL SCALE,nm,,,,,,0.00999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGTH (pts),1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBW (nm),0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBW (Hz),194,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFERENCE LEVEL (dBm),-44.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERTICAL SCALE,dBm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSITIVITY (dBm),-82.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGING,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
